,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
70,TQBR,2020-03-04,МосБиржа,MOEX,55380,2671353561.2,97.82,96.17,98.65,96.5,97.07,96.5,27516840,97.08,97.08,96.5,2671353561.2,2671353561.2,2671353561.2,,3,SUR,-1.61
71,TQBR,2020-03-03,МосБиржа,MOEX,59759,3204443047.9,101.05,97.39,101.7,98.08,98.87,98.08,32404310,98.89,98.89,98.08,3204443047.9,3204443047.9,3204443047.9,,3,SUR,-1.65
72,TQBR,2020-03-02,МосБиржа,MOEX,34848,1540423633.4,101.4,99.0,102.55,99.73,100.76,99.73,15288300,100.76,100.76,99.73,1540423633.4,1540423633.4,1540423633.4,,3,SUR,0.66
73,TQBR,2020-02-28,МосБиржа,MOEX,54239,2953963031.9,101.87,92.3,103.5,99.08,100.63,99.08,29356080,100.63,100.63,99.08,2953963031.9,2953963031.9,2953963031.9,,3,SUR,-5.39
74,TQBR,2020-02-27,МосБиржа,MOEX,21615,1127053260.6,106.7,104.12,106.9,104.73,105.35,104.73,10697900,105.35,105.35,104.73,1127053260.6,1127053260.6,1127053260.6,,3,SUR,-2.4
75,TQBR,2020-02-26,МосБиржа,MOEX,30574,1374275040.0,107.51,105.1,107.52,107.3,106.16,107.3,12945700,106.16,106.16,107.3,1374275040.0,1374275040.0,1374275040.0,,3,SUR,-0.22
76,TQBR,2020-02-25,МосБиржа,MOEX,24135,1039948856.2,110.58,107.54,111.29,107.54,108.92,107.54,9547990,108.92,108.92,107.54,1039948856.2,1039948856.2,1039948856.2,,3,SUR,-3.4
77,TQBR,2020-02-21,МосБиржа,MOEX,12252,552557155.3,111.7,111.2,112.52,111.33,111.65,111.33,4948700,111.66,111.66,111.33,552557155.3,552557155.3,552557155.3,,3,SUR,-0.6
78,TQBR,2020-02-20,МосБиржа,MOEX,10806,634093451.8,111.94,111.65,112.32,112.0,112.0,112.0,5661750,112.0,112.0,112.0,634093451.8,634093451.8,634093451.8,,3,SUR,0.31
79,TQBR,2020-02-19,МосБиржа,MOEX,9562,405400152.3,112.01,111.6,112.54,111.65,111.92,111.65,3622240,111.92,111.92,111.65,405400152.3,405400152.3,405400152.3,,3,SUR,-0.13
80,TQBR,2020-02-18,МосБиржа,MOEX,8562,465924644.0,112.6,111.57,112.6,111.8,111.96,111.8,4161470,111.96,111.96,111.8,465924644.0,465924644.0,465924644.0,,3,SUR,-0.89
81,TQBR,2020-02-17,МосБиржа,MOEX,5827,249868035.9,112.82,112.01,112.95,112.8,112.35,112.8,2223960,112.35,112.35,112.8,249868035.9,249868035.9,249868035.9,,3,SUR,0.27
82,TQBR,2020-02-14,МосБиржа,MOEX,8488,375907276.3,112.25,111.52,112.88,112.5,112.33,112.5,3346360,112.33,112.33,112.5,375907276.3,375907276.3,375907276.3,,3,SUR,0.22
83,TQBR,2020-02-13,МосБиржа,MOEX,10694,575189787.4,112.75,111.8,113.13,112.25,112.43,112.25,5115890,112.43,112.43,112.25,575189787.4,575189787.4,575189787.4,,3,SUR,-0.58
